абажур	lampshade
будущий	future
будущий	coming
будущий	next
будущий	to be
будущность	future
буйвол	buffalo
буйный	violent
буйство	tumult
буйство	uproar
буйствовать	rage
буйствовать	storm
бук	beech
букашка	insect
буква	letter
буквально	literally
буквально	word for word
букварь	ABC­book
букварь	school primer
букет	bunch of flowers
букет	nosegay
букет	bouquet
букинист	second­hand bookseller
буксир	tug
буксир	tugboat
буксир	tow
булавка	pin
булка	roll
булка	bun
булочная	baker's
булочная	baker's shop
булыжник	cobble­stone
бульвар	boulevard
бульдог	bulldog
бульдозер	bulldozer
бульон	broth
бумага	paper
бумага	paper
бумага	document
бумажник	wallet
бумажник	pocket­book
бумазея	flannelette
бунт	riot
бунтовать	riot
бунтовщик	rioter
бурав	gimlet
буравить	bore
буравить	drill
буран	snow­storm
бурда	dish water
буревестник	stormy petrel
бурение	boring
бурение	drilling
буржуа	bourgeois
буржуазия	bourgeoisie
буржуазный	bourgeois
бурить	bore
бурка	felt cloak
бурки	felt boots
бурлить	seethe
бурный	stormy
бурный	heavy
бурый	greyish­brown
бурый	muddy­brown
бурый	withered
буря	storm
буря	tempest
бусы	beads
бутерброд	sandwich
бутон	bud
бутсы	football boots
бутылка	bottle
буфер	buffer
буфет	sideboard
буфет	snack bar
буфет	buffet
буфет	refreshment room
буфетчик	attendant
бухгалтер	book­keeper
бухгалтер	accountant
бухгалтерия	book­keeping
бухгалтерия	account's department
бухта	bay
бушевать	storm
бушевать	rage
буян	rowdy
буян	ruffian
буянить	make a row
бывалый	worldly­wise
бывалый	experienced
бывать	be
бывать	happen
бывать	take place
бывать	be held
бывать	visit
бывший	former
бывший	late
бывший	ex­
бык	bull
бык	bullock
бык	pier
былое	the past
былой	former
былой	past
былой	bygone
быль	fact
быль	true story
быстро	fast
быстро	quickly
быстро	rapidly
